"SECT","TYPE","INIT_STN","X_COORD","Y_COORD","AZIMUTH","LENGTH","WIDTH","LINEAR_FACTOR","RECOV","BARRIER","PANEL_CO","PANEL_LV","PANEL_WT","TEXT_CO","TEXT_LV","TEXT_WT","TEXT_FONT","KIND","PREVIOUS","LEAPFROG_OVERRIDE","ENTRIES","ENTRY_WIDTH","ENTRY_CENTERS","CROSSCUT_CENTERS","CROSSCUT_ANGLE","GOB_EYE_DEPTH","BELT_PILLARS_SPLIT"
"B-05X","CMX",0.00,1764509.24,450258.31,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"B-05G",0,4,16.00,90.00,180.00,60.00,0.00,1
"B-06L","LW",250.00,1751862.29,452402.94,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"B-05X",0,0,0.00,0.00,0.00,0.00,0.00,0
"B-06S","CMS",0.00,1763973.63,448937.80,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"B-06L",0,4,16.00,90.00,90.00,60.00,0.00,0
"B-06G","CMG",0.00,1751397.80,451268.60,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"B-06S",0,3,16.00,90.00,180.00,60.00,0.00,1
"B-06X","CMX",0.00,1764254.84,448885.68,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"B-06G",0,4,16.00,90.00,180.00,60.00,0.00,1
"B-07L","LW",250.00,1751607.89,451030.32,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"B-06X",0,0,0.00,0.00,0.00,0.00,0.00,0
"B-07S","CMS",0.00,1763719.23,447565.18,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"B-07L",0,4,16.00,90.00,90.00,60.00,0.00,0
"B-07G","CMG",0.00,1751143.40,449895.97,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"B-07S",0,3,16.00,90.00,180.00,60.00,0.00,1
"B-07X","CMX",0.00,1764000.44,447513.06,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"B-07G",0,4,16.00,90.00,180.00,60.00,0.00,1
"B-08L","LW",250.00,1751353.49,449657.69,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"B-07X",0,0,0.00,0.00,0.00,0.00,0.00,0
"B-08S","CMS",0.00,1763464.83,446192.55,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"B-08L",0,4,16.00,90.00,90.00,60.00,0.00,0
"B-08G","CMG",0.00,1750889.00,448523.35,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"B-08S",0,3,16.00,90.00,180.00,60.00,0.00,1
"B-08X","CMX",0.00,1763746.04,446140.44,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"B-08G",0,4,16.00,90.00,180.00,60.00,0.00,1
"C-02G","CMG",0.00,1754312.81,466996.61,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"C-02S",0,3,16.00,90.00,180.00,60.00,0.00,1
"C-02X","CMX",0.00,1767169.85,464613.70,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"C-02G",0,4,16.00,90.00,180.00,60.00,0.00,1
"C-03L","LW",250.00,1754522.91,466758.33,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"C-02X",0,0,0.00,0.00,0.00,0.00,0.00,0
"C-03S","CMS",0.00,1766634.24,463293.20,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"C-03L",0,4,16.00,90.00,90.00,60.00,0.00,0
"C-03G","CMG",0.00,1754058.41,465623.99,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"C-03S",0,3,16.00,90.00,180.00,60.00,0.00,1
"A-02X","CMX",0.00,1763450.57,442815.41,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"A-02G",0,4,16.00,90.00,180.00,60.00,0.00,1
"A-03X","CMX",0.00,1763212.57,441531.28,100.50,1465.16,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"A-03G",0,4,16.00,90.00,180.00,60.00,0.00,1
"C-03X","CMX",0.00,1766915.45,463241.08,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"C-03G",0,4,16.00,90.00,180.00,60.00,0.00,1
